fold,label,time,space,predictor,n,rmse,r2,skill_vs_persistence,skill_vs_climatology,biome
0,2025-08..2025-10,future,seen,gbt,48116,0.04401610919014061,0.8334452847477176,0.17132819516148545,0.4585256672234167,sunshine_coast_hinterland
0,2025-08..2025-10,future,seen,persistence,48227,0.05311645567417145,0.7678560978068314,0.0,0.3465756532139985,sunshine_coast_hinterland
0,2025-08..2025-10,future,seen,climatology,48478,0.0812893733382225,0.5063954602177969,-0.5303990506608764,0.0,sunshine_coast_hinterland
0,2025-08..2025-10,future,unseen,gbt,3594,0.04134989517878877,0.8261477228489101,0.04007831319962263,0.39109185953237524,sunshine_coast_hinterland
0,2025-08..2025-10,future,unseen,persistence,3598,0.043076321482658386,0.815153151494681,0.0,0.3656689406640611,sunshine_coast_hinterland
0,2025-08..2025-10,future,unseen,climatology,3600,0.06790826469659805,0.5442163227351118,-0.5764638752623406,0.0,sunshine_coast_hinterland
0,2025-08..2025-10,seen,seen,gbt,4381582,0.08293331857252569,0.5661502468460098,0.27668404068274144,0.19218092552480082,sunshine_coast_hinterland
0,2025-08..2025-10,seen,seen,persistence,5482978,0.11465711146593094,0.2192217638174183,0.0,-0.11682738928877434,sunshine_coast_hinterland
0,2025-08..2025-10,seen,seen,climatology,6258290,0.10266323387622833,0.4231273106915454,0.10460648656116245,0.0,sunshine_coast_hinterland
0,2025-08..2025-10,seen,unseen,gbt,365804,0.08345435662840923,0.5337414782982918,0.27123972717999,0.15782269698088092,sunshine_coast_hinterland
0,2025-08..2025-10,seen,unseen,persistence,436118,0.1145155131816864,0.16962838462472085,0.0,-0.15563009459918908,sunshine_coast_hinterland
0,2025-08..2025-10,seen,unseen,climatology,482280,0.09909357130527496,0.3827542434958435,0.13467120259893095,0.0,sunshine_coast_hinterland
1,2025-11..2026-01,future,seen,gbt,44747,0.06907446226124468,0.4093103527559051,0.09899987448356062,0.2860297918912048,sunshine_coast_hinterland
1,2025-11..2026-01,future,seen,persistence,44861,0.07666420936584473,0.2927997739528827,0.0,0.20758034556370508,sunshine_coast_hinterland
