fold,label,time,space,predictor,n,rmse,r2,skill_vs_persistence,skill_vs_climatology,biome
0,2025-08..2025-10,future,seen,gbt,582532,0.10541747633231238,0.4546930557274488,0.07165877067800641,0.04110990513180879,sunshine_coast_core
0,2025-08..2025-10,future,seen,persistence,583836,0.11355466395616531,0.3732196143532365,0.0,-0.032906936136520404,sunshine_coast_core
0,2025-08..2025-10,future,seen,climatology,585321,0.10993697494268417,0.41943003738333484,0.031858568265215825,0.0,sunshine_coast_core
0,2025-08..2025-10,future,unseen,gbt,22476,0.08737638795676597,0.4014329962242509,0.048101165626194375,0.056708270920601045,sunshine_coast_core
0,2025-08..2025-10,future,unseen,persistence,22480,0.09179167449474335,0.33970687502692887,0.0,0.009042037854861684,sunshine_coast_core
0,2025-08..2025-10,future,unseen,climatology,22488,0.09262923151254654,0.32798583997505226,-0.009124542311853778,0.0,sunshine_coast_core
0,2025-08..2025-10,seen,seen,gbt,18561331,0.09315463754128625,0.5760988910861149,0.24974186498796358,0.0009122433596645552,sunshine_coast_core
0,2025-08..2025-10,seen,seen,persistence,20093136,0.12416344881057739,0.25707549397036655,0.0,-0.33165867854842657,sunshine_coast_core
0,2025-08..2025-10,seen,seen,climatology,21268308,0.0932396948337555,0.5868566404303059,0.2490568220604028,0.0,sunshine_coast_core
0,2025-08..2025-10,seen,unseen,gbt,705294,0.09318939069367893,0.43483711712036544,0.24564227184642573,0.015056824915885891,sunshine_coast_core
0,2025-08..2025-10,seen,unseen,persistence,765908,0.12353474646806717,0.014973106412620285,0.0,-0.30567121980037126,sunshine_coast_core
0,2025-08..2025-10,seen,unseen,climatology,813614,0.09461397677659988,0.4212206564754517,0.2341104063296321,0.0,sunshine_coast_core
1,2025-11..2026-01,future,seen,gbt,424069,0.11167934355014414,0.27960098940371647,0.29676985368274056,-0.029947260546205,sunshine_coast_core
1,2025-11..2026-01,future,seen,persistence,429249,0.158809095621109,-0.4393644714634226,0.0,-0.4645948640568496,sunshine_coast_core
1,2025-11..2026-01,future,seen,climatology,432738,0.1084320992231369,0.340931084637779,0.3172173243663756,0.0,sunshine_coast_core
1,2025-11..2026-01,future,unseen,gbt,15250,0.09482907679679733,0.03528267873249624,0.29609964328634,-0.016878074674427923,sunshine_coast_core
